"place"	"room"	"price_pax"	"total_price"	"bed"	"bath"	"sqft_pax"	"total_sqft"	"rating"	"built"	"property_units"	"property_stories"	"walkscore"	"transitscore"	"distance"	"dist"	"features"	"laundry"	"furnished"	"internet"	"ac"	"balcony"	"dishwasher"	"patio"	"hardwood"	"tile"	"intercom"	"granite"	"accessible"	"ice"	"long"	"lat"	"bed_count"	"address"
"888 Hilgard – Furnished Apartments"	"2 Bedroom 2 Bath"	3242	6485	"2 beds"	"2 baths"	522	1044	4.1	1976	60	4	87	71	0.5	0.397390533380937	", , , High Speed Internet Access, Wi-Fi, Air Conditioning, Heating, Smoke Free, Cable Ready, Satellite TV, Trash Compactor, Storage Space, Tub/Shower, Fireplace, Intercom, Sprinkler System, Framed Mirrors, Wheelchair Accessible (Rooms), Dishwasher, Disposal, Granite Countertops, Stainless Steel Appliances, Eat-in Kitchen, Kitchen, Microwave, Oven, Range, Refrigerator, Freezer, Breakfast Nook, Coffee System, Instant Hot Water, Hardwood Floors, Carpet, Tile Floors, Dining Room, Family Room, Office, Recreation Room, Built-In Bookshelves, Vaulted Ceiling, Views, Walk-In Closets, Linen Closet, Furnished, Double Pane Windows, Large Bedrooms, Balcony, Patio, Deck, Garden"	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	-118.440483575927	34.064277	2	"888 Hilgard Ave, Los Angeles, CA 90024"
"1512 Butler Ave"	"Front Unit"	1448	2895	"2 beds"	"2 baths"	475	950	4	1963	8	2	93	65	NA	1.78277311085776	", High Speed Internet Access, Air Conditioning, Smoke Free, Eat-in Kitchen, Kitchen, Oven, Refrigerator, Hardwood Floors, Walk-In Closets, Balcony, Patio, , , , "	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	-118.452627204082	34.0464911632653	2	"1512 Butler Ave, Los Angeles, CA 90025"
"Princess Apartments"	"#403"	2100	4200	"2 beds"	"2 baths"	575	1150	4	1955	20	5	69	70	1.2	0.67504934476471	", , , Washer/Dryer, Air Conditioning, Heating, Ceiling Fans, Smoke Free, Cable Ready, Security System, Double Vanities, Tub/Shower, Intercom, Sprinkler System, Dishwasher, Disposal, Ice Maker, Granite Countertops, Stainless Steel Appliances, Pantry, Island Kitchen, Eat-in Kitchen, Kitchen, Microwave, Oven, Range, Refrigerator, Freezer, Quartz Countertops, Gas Range, Carpet, Tile Floors, Dining Room, Views, Skylights, Walk-In Closets, Linen Closet, Double Pane Windows, Balcony"	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	-118.434809912328	34.0611433230198	2	"10655 Wilshire Blvd, Los Angeles, CA 90024"
"1622 Armacost Ave"	"1 Bed + 1 Bath"	2895	2895	"1 bed"	"1 bath"	600	600	3	1956	6	NA	80	63	NA	2.33032454382312	", High Speed Internet Access, Air Conditioning, Tub/Shower, Disposal, Granite Countertops, Stainless Steel Appliances, Microwave, Refrigerator, Gas Range, Hardwood Floors, High Ceilings, Double Pane Windows, , , , "	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	-118.458491061224	34.0400420816326	1	"1622 Armacost Ave, Los Angeles, CA 90025"
"Vantage Mar Vista"	"Plan G2-B - Studio"	2755	2755	"Studio"	"1 bath"	475	475	5	2020	46	4	80	48	NA	3.237670468538	", , , High Speed Internet Access, Wi-Fi, Washer/Dryer, Air Conditioning, Heating, Ceiling Fans, Smoke Free, Cable Ready, Storage Space, Tub/Shower, Handrails, Intercom, Wheelchair Accessible (Rooms), Dishwasher, Disposal, Ice Maker, Stainless Steel Appliances, Pantry, Island Kitchen, Eat-in Kitchen, Kitchen, Microwave, Oven, Range, Refrigerator, Freezer, Breakfast Nook, Instant Hot Water, Hardwood Floors, Carpet, Vinyl Flooring, Dining Room, Office, Recreation Room, Den, Workshop, Vaulted Ceiling, Bay Window, Views, Walk-In Closets, Linen Closet, Loft Layout, Double Pane Windows, Window Coverings, Mother-in-law Unit, Large Bedrooms, Balcony, Patio, Deck"	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	-118.43778	34.02317	1	"11677 W National Blvd, Los Angeles, CA 90064"
"Vantage Mar Vista"	"Plan G2-A"	2755	2755	"Studio"	"1 bath"	455	455	5	2020	46	4	80	48	NA	3.237670468538	", , , High Speed Internet Access, Wi-Fi, Washer/Dryer, Air Conditioning, Heating, Ceiling Fans, Smoke Free, Cable Ready, Storage Space, Tub/Shower, Handrails, Intercom, Wheelchair Accessible (Rooms), Dishwasher, Disposal, Ice Maker, Stainless Steel Appliances, Pantry, Island Kitchen, Eat-in Kitchen, Kitchen, Microwave, Oven, Range, Refrigerator, Freezer, Breakfast Nook, Instant Hot Water, Hardwood Floors, Carpet, Vinyl Flooring, Dining Room, Office, Recreation Room, Den, Workshop, Vaulted Ceiling, Bay Window, Views, Walk-In Closets, Linen Closet, Loft Layout, Double Pane Windows, Window Coverings, Mother-in-law Unit, Large Bedrooms, Balcony, Patio, Deck"	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	-118.43778	34.02317	1	"11677 W National Blvd, Los Angeles, CA 90064"
"Vantage Mar Vista"	"Plan G3"	3895	3895	"1 bed"	"1 bath"	800	800	5	2020	46	4	80	48	NA	3.237670468538	", , , High Speed Internet Access, Wi-Fi, Washer/Dryer, Air Conditioning, Heating, Ceiling Fans, Smoke Free, Cable Ready, Storage Space, Tub/Shower, Handrails, Intercom, Wheelchair Accessible (Rooms), Dishwasher, Disposal, Ice Maker, Stainless Steel Appliances, Pantry, Island Kitchen, Eat-in Kitchen, Kitchen, Microwave, Oven, Range, Refrigerator, Freezer, Breakfast Nook, Instant Hot Water, Hardwood Floors, Carpet, Vinyl Flooring, Dining Room, Office, Recreation Room, Den, Workshop, Vaulted Ceiling, Bay Window, Views, Walk-In Closets, Linen Closet, Loft Layout, Double Pane Windows, Window Coverings, Mother-in-law Unit, Large Bedrooms, Balcony, Patio, Deck"	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	-118.43778	34.02317	1	"11677 W National Blvd, Los Angeles, CA 90064"
"Vantage Mar Vista"	"Plan H2"	3625	3625	"1 bed"	"1 bath"	650	650	5	2020	46	4	80	48	NA	3.237670468538	", , , High Speed Internet Access, Wi-Fi, Washer/Dryer, Air Conditioning, Heating, Ceiling Fans, Smoke Free, Cable Ready, Storage Space, Tub/Shower, Handrails, Intercom, Wheelchair Accessible (Rooms), Dishwasher, Disposal, Ice Maker, Stainless Steel Appliances, Pantry, Island Kitchen, Eat-in Kitchen, Kitchen, Microwave, Oven, Range, Refrigerator, Freezer, Breakfast Nook, Instant Hot Water, Hardwood Floors, Carpet, Vinyl Flooring, Dining Room, Office, Recreation Room, Den, Workshop, Vaulted Ceiling, Bay Window, Views, Walk-In Closets, Linen Closet, Loft Layout, Double Pane Windows, Window Coverings, Mother-in-law Unit, Large Bedrooms, Balcony, Patio, Deck"	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	-118.43778	34.02317	1	"11677 W National Blvd, Los Angeles, CA 90064"
"409 Veteran Ave"	"1 Bedroom"	2200	2200	"1 bed"	"1 bath"	850	850	4	1946	6	2	55	59	0.7	0.873095376127012	"Heating, Smoke Free, Cable Ready, Tub/Shower, Sprinkler System, Disposal, Kitchen, Oven, Refrigerator, Vinyl Flooring, Crown Molding, Walk-In Closets, Patio, Yard, Garden, , , , , "	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-118.455040791667	34.0697109583333	1	"411 Veteran Ave, Los Angeles, CA 90024"
"Santa Monica at Federal"	"3 bedroom, 3 bathroom"	1565	4695	"3 beds"	"3 baths"	425	1275	5	2011	63	5	93	64	NA	1.64993219220028	", , , , Dishwasher, Disposal, Ice Maker, Stainless Steel Appliances, Island Kitchen, Eat-in Kitchen, Kitchen, Microwave, Oven, Refrigerator, Instant Hot Water, Hardwood Floors, Tile Floors, Vinyl Flooring, Office, Walk-In Closets, Loft Layout, Balcony, Patio"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	-118.447004	34.04688	3	"11571 Santa Monica Blvd, Los Angeles, CA 90025"
"Santa Monica at Federal"	"4 bedroom, 3 bathroom"	1449	5795	"4 beds"	"3 baths"	406	1624	5	2011	63	5	93	64	NA	1.64993219220028	", , , , Dishwasher, Disposal, Ice Maker, Stainless Steel Appliances, Island Kitchen, Eat-in Kitchen, Kitchen, Microwave, Oven, Refrigerator, Instant Hot Water, Hardwood Floors, Tile Floors, Vinyl Flooring, Office, Walk-In Closets, Loft Layout, Balcony, Patio"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	-118.447004	34.04688	4	"11571 Santa Monica Blvd, Los Angeles, CA 90025"
"Santa Monica at Federal"	"4 bedroom, 4 bathroom"	1449	5795	"4 beds"	"4 baths"	376	1506	5	2011	63	5	93	64	NA	1.64993219220028	", , , , Dishwasher, Disposal, Ice Maker, Stainless Steel Appliances, Island Kitchen, Eat-in Kitchen, Kitchen, Microwave, Oven, Refrigerator, Instant Hot Water, Hardwood Floors, Tile Floors, Vinyl Flooring, Office, Walk-In Closets, Loft Layout, Balcony, Patio"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	-118.447004	34.04688	4	"11571 Santa Monica Blvd, Los Angeles, CA 90025"
"1834 S Bentley Ave Apartments"	"1 Bedroom"	2700	2700	"1 bed"	"1 bath"	730	730	3.9	1971	29	3	90	66	2	1.66695255197487	", , , High Speed Internet Access, Air Conditioning, Heating, Ceiling Fans, Smoke Free, Security System, Tub/Shower, Dishwasher, Disposal, Granite Countertops, Stainless Steel Appliances, Pantry, Kitchen, Microwave, Oven, Range, Refrigerator, Freezer, Hardwood Floors, Carpet, Vinyl Flooring, Dining Room, Office, Views, Walk-In Closets, Balcony, Patio"	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	-118.441218574845	34.0459027	1	"1834 S Bentley Ave, Los Angeles, CA 90025"
